group,metric,label,n,null,mean,ci_lo,ci_hi,wilcoxon_W,wilcoxon_p,t,t_p,cohens_d
UChicago,d_prime,"d'  (SDT sensitivity, Ch.16)",10,0.0,0.02058872819812902,-0.10449355063385692,0.151473897260576,25.0,0.845703125,0.2976019343084532,0.7727621436392308,0.09410999484865192
UChicago,accuracy,accuracy,10,0.5,0.5040268456375838,0.47919463087248315,0.529530201342282,26.0,0.904296875,0.29242210729714224,0.7765931935913009,0.09247198972451137
UChicago,cos_ci_true,"cos(CI_subject, CI_true) (Ch.22)",10,0.0,-0.001566150182784412,-0.05817406468724794,0.056246179370219494,27.0,1.0,-0.05055456066505813,0.9607846908117795,-0.01598675578107404
UChicago,cos_w_true,"cos(w_subject, w_true) (Ch.24)",10,0.0,0.035578139232367724,-0.06609696306280725,0.14202909696596364,22.0,0.625,0.6426005818441746,0.5365079011564464,0.20320814643770355
UChicago,beta_truetarget,"beta_truetarget (per-subject logistic, Ch.25)",10,0.0,0.055630560332703416,-0.12717282397710364,0.250332296037897,22.0,0.625,0.5431220903954027,0.6002365328448848,0.1717502853201333
Oberlin,d_prime,"d'  (SDT sensitivity, Ch.16)",16,0.0,0.13522926151874765,0.06833358146960677,0.19716227154082894,10.0,0.001312255859375,3.9647557119383827,0.0012455213216360612,0.9911889279845957
Oberlin,accuracy,accuracy,16,0.5,0.526006711409396,0.513003355704698,0.537751677852349,14.0,0.005158727845187974,3.9433693476895866,0.001300972486020477,0.9858423369223966
Oberlin,cos_ci_true,"cos(CI_subject, CI_true) (Ch.22)",16,0.0,0.056932665148606294,0.03074369615728723,0.08312959595893063,10.0,0.001312255859375,4.093907012056626,0.0009580211029447976,1.0234767530141564
Oberlin,cos_w_true,"cos(w_subject, w_true) (Ch.24)",16,0.0,0.08101215557971997,-0.02092079176249731,0.18022198068393425,44.0,0.231201171875,1.514261004822633,0.15074453770432594,0.37856525120565826
Oberlin,beta_truetarget,"beta_truetarget (per-subject logistic, Ch.25)",16,0.0,0.2184553420296375,0.11865487322374864,0.316296003023073,13.0,0.002685546875,4.184764914319162,0.0007970641054586233,1.0461912285797905
Unified,d_prime,"d'  (SDT sensitivity, Ch.16)",26,0.0,0.0911367487031251,0.022965755102931577,0.1561630602410883,79.0,0.012952595949172974,2.6128080690338984,0.014980715930091815,0.5124138203567897
Unified,accuracy,accuracy,26,0.5,0.517552916881776,0.5038719669592152,0.5302013422818792,88.0,0.026074144291275327,2.563356237950048,0.01676611317882084,0.5027155183691185
Unified,cos_ci_true,"cos(CI_subject, CI_true) (Ch.22)",26,0.0,0.03443312079037909,0.004664260789878576,0.06299955510347412,88.0,0.025350749492645264,2.238130266447312,0.03435937938304098,0.43893345779144083
Unified,cos_w_true,"cos(w_subject, w_true) (Ch.24)",26,0.0,0.06353753390766141,-0.010170804742360635,0.13653081060229194,118.0,0.14990898966789246,1.640100222742906,0.11350835253343158,0.3216501169236135
Unified,beta_truetarget,"beta_truetarget (per-subject logistic, Ch.25)",26,0.0,0.1558304259923552,0.05311320467551341,0.25313733274443706,77.0,0.011045306921005249,2.993506306251426,0.0061330917751197455,0.5870748872938107
